Date,Total_Value,Cash_Accumulated
2016-12-07,23515.31540298462,23000
2016-12-08,23576.876377105713,23000
2016-12-09,23720.51575088501,23000
2016-12-12,23694.296237945557,23000
2016-12-13,23856.176029205322,23000
2016-12-14,23658.95651626587,23000
2016-12-15,23746.735263824463,23000
2016-12-16,23705.695194244385,23000
2016-12-19,23759.27533340454,23000
2016-12-20,23850.47568130493,23000
2016-12-21,23785.496585845947,23000
2016-12-22,23607.655124664307,23000
2016-12-23,23628.176029205322,23000
2016-12-27,23686.31540298462,23000
2016-12-28,23499.355472564697,23000
2016-12-29,23494.796237945557,23000
2016-12-30,24413.855472564697,24000
2017-01-03,24582.596408843994,24000
2017-01-04,24726.556552886963,24000
2017-01-05,24707.676120758057,24000
2017-01-06,24803.25583267212,24000
2017-01-09,24725.375400543213,24000
2017-01-10,24721.83554458618,24000
2017-01-11,24791.455112457275,24000
2017-01-12,24737.176120758057,24000
2017-01-13,24785.556552886963,24000
2017-01-17,24698.235904693604,24000
2017-01-18,24750.15619277954,24000
2017-01-19,24667.556552886963,24000
2017-01-20,24746.61633682251,24000
2017-01-23,24689.97504043579,24000
2017-01-24,24845.735904693604,24000
2017-01-25,25051.056552886963,24000
2017-01-26,25032.176120758057,24000
2017-01-27,24996.775760650635,24000
2017-01-30,24846.915256500244,24000
2017-01-31,25845.735904693604,25000
2017-02-01,25849.42575454712,25000
2017-02-02,25860.495304107666,25000
2017-02-03,26051.145679473877,25000
2017-02-06,25997.02537918091,25000
2017-02-07,26003.17575454712,25000
2017-02-08,26036.386280059814,25000
2017-02-09,26183.985904693604,25000
2017-02-10,26288.536655426025,25000
2017-02-13,26427.52537918091,25000
2017-02-14,26536.995304107666,25000
2017-02-15,26671.064853668213,25000
2017-02-16,26650.15507888794,25000
2017-02-17,26690.745304107666,25000
2017-02-21,26846.95582962036,25000
2017-02-22,26834.65507888794,25000
2017-02-23,26849.416355133057,25000
2017-02-24,26881.395679473877,25000
2017-02-27,26920.756580352783,25000
2017-02-28,27842.036655426025,26000
2017-03-01,28236.274936676025,26000
2017-03-02,28071.155796051025,26000
2017-03-03,28086.515171051025,26000
2017-03-06,27999.476108551025,26000
2017-03-07,27914.995639801025,26000
2017-03-08,27856.114780426025,26000
2017-03-09,27885.556186676025,26000
2017-03-10,27982.835483551025,26000
2017-03-13,27999.476108551025,26000
2017-03-14,27904.755405426025,26000
2017-03-15,28136.435092926025,26000
2017-03-16,28089.075717926025,26000
2017-03-17,28032.755405426025,26000
2017-03-20,28008.435092926025,26000
2017-03-21,27651.315952301025,26000
2017-03-22,27579.636264801025,26000
2017-03-23,27551.476108551025,26000
2017-03-24,27542.515171051025,26000
2017-03-27,27497.716342926025,26000
2017-03-28,27701.235874176025,26000
2017-03-29,27742.194858551025,26000
2017-03-30,27816.435092926025,26000
2017-03-31,28749.876499176025,27000
2017-04-03,28714.23593521118,27000
2017-04-04,28730.07529067993,27000
2017-04-05,28642.954807281494,27000
2017-04-06,28716.876499176025,27000
2017-04-07,28691.7961769104,27000
2017-04-10,28711.595371246338,27000
2017-04-11,28675.954807281494,27000
2017-04-12,28558.4748878479,27000
2017-04-13,28369.715854644775,27000
2017-04-17,28616.555210113525,27000
2017-04-18,28538.675693511963,27000
